[ 2025-03-10 14:48:20,886 ] 22 root - INFO - Initiate the data ingestion
[ 2025-03-10 14:48:29,600 ] 67 root - INFO - Performed train test split on the dataframe
[ 2025-03-10 14:48:29,600 ] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-10 14:48:29,602 ] 77 root - INFO - Exporting train and test file path.
[ 2025-03-10 14:48:29,681 ] 86 root - INFO - Exported train and test file path.
[ 2025-03-10 14:48:29,682 ] 24 root - INFO - Data Initiation Completed
[ 2025-03-10 14:48:29,690 ] 28 root - INFO - Initiate the data Validation
[ 2025-03-10 14:48:29,765 ] 34 root - INFO - Required number of columns:2
[ 2025-03-10 14:48:29,766 ] 35 root - INFO - Data frame has columns:31
[ 2025-03-10 14:48:29,766 ] 34 root - INFO - Required number of columns:2
[ 2025-03-10 14:48:29,766 ] 35 root - INFO - Data frame has columns:31
[ 2025-03-10 14:48:29,940 ] 30 root - INFO - data Validation Completed
[ 2025-03-10 14:48:29,940 ] 33 root - INFO - data Transformation started
[ 2025-03-10 14:48:29,940 ] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-10 14:48:29,940 ] 67 root - INFO - Starting data transformation
[ 2025-03-10 14:48:29,988 ] 50 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-10 14:48:29,988 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-10 14:48:30,011 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 14:48:30,017 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 14:48:30,017 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-10 14:48:30,021 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-10 14:48:30,024 ] 37 root - INFO - data Transformation completed
